[Name]
Series 1 at /LINE:Inlet

[Data]
Velocity u [ m s^-1 ],Y [ m ]
1.40457255e-008, 5.00000000e+000
1.60400081e+000, 6.66666651e+000
2.82979250e+000, 8.33333302e+000
3.67740607e+000, 1.00000000e+001
4.14687920e+000, 1.16666670e+001
4.25062990e+000, 1.33333340e+001
4.25062990e+000, 1.50000010e+001
4.25062990e+000, 1.66666679e+001
4.25062943e+000, 1.83333340e+001
4.25062990e+000, 2.00000000e+001


